ip,hostname,timestamp,cpu,ram,armazenamento,disco_uso,mac,gpu
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-50,10.4,49.9,17.7,0.1,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-23-56,10.1,49.9,17.7,0.2,14071519000332,40
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-02,10.6,49.9,17.7,0.1,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-08,11.7,49.8,17.7,0.1,14071519000332,34
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-14,9.2,49.8,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-20,10.6,49.8,17.7,0.2,14071519000332,35
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-26,9.7,49.8,17.7,0.1,14071519000332,37
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-31,9.0,49.8,17.7,0.2,14071519000332,41
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-37,10.0,49.8,17.7,0.2,14071519000332,39
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-43,10.8,49.8,17.7,0.1,14071519000332,38
192.168.0.192,DESKTOP-N2E1DHL,2025-10-26_00-24-49,10.6,49.9,17.7,0.1,14071519000332,40
